"Cosmetics, perfume, bath, nail preparations and implements",2003,167.992307692
"Cosmetics, perfume, bath, nail preparations and implements",2004,169.507692308
"Cosmetics, perfume, bath, nail preparations and implements",2005,171.315384615
"Cosmetics, perfume, bath, nail preparations and implements",2006,173.123076923
"Cosmetics, perfume, bath, nail preparations and implements",2007,177.000615385
"Cosmetics, perfume, bath, nail preparations and implements",2008,178.036538462
"Cosmetics, perfume, bath, nail preparations and implements",2009,183.638076923
"Cosmetics, perfume, bath, nail preparations and implements",2010,182.170769231
"Cosmetics, perfume, bath, nail preparations and implements",2011,184.268230769
"Cosmetics, perfume, bath, nail preparations and implements",2012,186.689076923
"Crackers, bread, and cracker products",1997,210.792
"Crackers, bread, and cracker products",1998,214.724
"Crackers, bread, and cracker products",1999,218.596
"Crackers, bread, and cracker products",2000,225.052
"Crackers, bread, and cracker products",2001,231.612
"Crackers, bread, and cracker products",2002,236.064
"Crackers, bread, and cracker products",2003,243.396
"Crackers, bread, and cracker products",2004,249.268
"Crackers, bread, and cracker products",2005,246.524
"Crackers, bread, and cracker products",2006,250.7
"Crackers, bread, and cracker products",2007,255.28792
"Crackers, bread, and cracker products",2008,273.91916
"Crackers, bread, and cracker products",2009,286.54212
"Crackers, bread, and cracker products",2010,285.98884
"Crackers, bread, and cracker products",2011,293.98688
"Crackers, bread, and cracker products",2012,302.98824
"Distilled spirits, excluding whiskey, at home",1997,150.592307692
"Distilled spirits, excluding whiskey, at home",1998,152.630769231
"Distilled spirits, excluding whiskey, at home",1999,156.272
"Distilled spirits, excluding whiskey, at home",2000,163.32
"Distilled spirits, excluding whiskey, at home",2001,170.404
"Distilled spirits, excluding whiskey, at home",2002,173.04
"Distilled spirits, excluding whiskey, at home",2003,173.612
"Distilled spirits, excluding whiskey, at home",2004,175.676
"Distilled spirits, excluding whiskey, at home",2005,176.8
"Distilled spirits, excluding whiskey, at home",2006,177.952
"Distilled spirits, excluding whiskey, at home",2007,178.32092
"Distilled spirits, excluding whiskey, at home",2008,181.9224
"Distilled spirits, excluding whiskey, at home",2009,184.87524
"Distilled spirits, excluding whiskey, at home",2010,184.69024
"Distilled spirits, excluding whiskey, at home",2011,185.12968
"Distilled spirits, excluding whiskey, at home",2012,184.765
"Dried beans, peas, and lentils",1997,100.0
"Dried beans, peas, and lentils",1998,100.338461538
"Dried beans, peas, and lentils",1999,101.007692308
"Dried beans, peas, and lentils",2000,99.3153846154
"Dried beans, peas, and lentils",2001,99.8769230769
"Dried beans, peas, and lentils",2002,109.438461538
"Dried beans, peas, and lentils",2003,109.153846154
"Dried beans, peas, and lentils",2004,110.392307692
"Dried beans, peas, and lentils",2005,117.561538462
"Dried beans, peas, and lentils",2006,119.738461538
"Dried beans, peas, and lentils",2007,132.480538462
"Dried beans, peas, and lentils",2008,158.993
"Dried beans, peas, and lentils",2009,177.102692308
"Dried beans, peas, and lentils",2010,173.303153846
"Dried beans, peas, and lentils",2011,178.267
"Dried beans, peas, and lentils",2012,198.365076923
"Fresh biscuits, rolls, muffins",1997,100.0
"Fresh biscuits, rolls, muffins",1998,102.3
"Fresh biscuits, rolls, muffins",1999,105.292307692
"Fresh biscuits, rolls, muffins",2000,107.5
"Fresh biscuits, rolls, muffins",2001,111.5
"Fresh biscuits, rolls, muffins",2002,114.607692308
"Fresh biscuits, rolls, muffins",2003,118.069230769
"Fresh biscuits, rolls, muffins",2004,121.5
"Fresh biscuits, rolls, muffins",2005,124.776923077
"Fresh biscuits, rolls, muffins",2006,129.692307692
"Fresh biscuits, rolls, muffins",2007,136.45692
"Fresh biscuits, rolls, muffins",2008,151.81748
